n,tau
3,1.15114098198125
4,1.425
5,1.57122137072398
6,1.65626607396521
7,1.71102755872556
8,1.7490784053906
9,1.77702294756349
10,1.79841000495057
11,1.81530566613323
12,1.82899162749097
13,1.84030441033769
14,1.84981299605965
15,1.85791782105934
16,1.86490888297272
17,1.87100136908321
18,1.87635832955106
19,1.88110557504102
20,1.88534174100679
21,1.889145254242
22,1.89257925992902
23,1.89569517351593
24,1.89853528543143
25,1.90113470086547
26,1.90352280464061
27,1.90572438155644
28,1.9077604832138
29,1.90964910584322
30,1.91140572554655
31,1.91304372477414
32,1.91457473498837
33,1.91600891412878
34,1.91735517291223
35,1.91862136065163
36,1.91981441880018
37,1.92094050857962
38,1.92200511765778
39,1.92301314978254
40,1.92396900046758
42,1.9257395741453
44,1.92734405303837
46,1.92880477033067
48,1.93014022576318
50,1.93136587452587
55,1.93403020798844
60,1.93624029595931
65,1.93810320240681
70,1.93969479083107
80,1.94227099302875
90,1.94426611054836
100,1.94585683637293
200,1.95295694115305
500,1.95717215474288
1000,1.95856988613376
5000,1.95968545444246
1.00E+13,1.9602993234449
